surveyID,date,Lat,Lat_abs,Lat_abs_scale,hemi,Genus_sp,plantFamily,Biome,growthForm,growthForm_simp,sizeDiameterMean,sizeDiameterMeanLog,sizeDiameterMeanLogScale,plantMean,plantMeanProp,plantMeanPropLogit,plantGini,plantGiniAdj,plantGiniAdjLogit,propPlantsHerb50,focalPlantCoverMean
Abdala_Site 1_Coccoloba_uvifera_Survey 1,8/12/19,21.172052,21.172052,-1.096127669,N,Coccoloba_uvifera,Polygonaceae,Tropical & Subtropical Dry Broadleaf Forests,SHRUB;TREE,Woody,91.94444444,4.52118453,1.016311702,13.77777778,0.137777778,-1.833870955,0.38156682,0.38156682,-0.482903163,0.277777778,50.25
Abdala_Site 1_Waltheria_indica_Survey 1,10/7/19,20.802356,20.802356,-1.121405355,N,Waltheria_indica,Malvaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB,Herb,45.94827586,3.827516326,0.423489567,4.933333333,0.049333333,-2.958563508,0.368644068,0.368644068,-0.538038187,0.216666667,30.5
Abdala_Site 10_Solanum_donianum_Survey 1,7/16/19,21.34917,21.34917,-1.084017359,N,Solanum_donianum,Solanaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;SHRUB,Woody,57.61666667,4.053811878,0.61688608,2.95,0.0295,-3.493421139,0.199367998,0.199367998,-1.390249067,0.016393443,29.4
Abdala_Site 12_Solanum_tridynamum_Survey 1,12/7/19,21.301403,21.301403,-1.087283392,N,Solanum_tridynamum,Solanaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;SHRUB,Herb,51.89655172,3.949252347,0.527527503,6.629310345,0.066293103,-2.645076702,0.425273196,0.425273196,-0.301163028,0.24137931,28.93333333
Abdala_Site 13_Solanum_tridynamum_Survey 1,12/7/19,21.283488,21.283488,-1.088508316,N,Solanum_tridynamum,Solanaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;SHRUB,Herb,49.42372881,3.900430649,0.485803544,4.381355932,0.043813559,-3.083009573,0.395984793,0.395984793,-0.422223566,0.169491525,27.93333333
Abdala_Site 14_Solanum_tridynamum_Survey 1,7/15/19,21.330256,21.330256,-1.085310589,N,Solanum_tridynamum,Solanaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;SHRUB,Herb,67.63793103,4.214168936,0.753930294,7.129310345,0.071293103,-2.566993588,0.468762596,0.468762596,-0.125112563,0.189655172,28.5
Abdala_Site 2_Coccoloba_uvifera_Survey 1,8/12/19,21.169056,21.169056,-1.096332518,N,Coccoloba_uvifera,Polygonaceae,Tropical & Subtropical Dry Broadleaf Forests,SHRUB;TREE,Woody,89.70731707,4.496552338,0.995260559,10.23170732,0.102317073,-2.171740366,0.437365912,0.437365912,-0.251859313,0.219512195,16.54166667
Abdala_Site 2_Waltheria_indica_Survey 1,10/7/19,21.10394,21.10394,-1.100784776,N,Waltheria_indica,Malvaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB,Herb,59.76271186,4.090381919,0.648139538,11.3220339,0.113220339,-2.05826072,0.361578567,0.361578567,-0.568519264,0.271186441,18.56666667
Abdala_Site 3_Gossypium_hirsutum_Survey 1,7/15/19,21.344701,21.344701,-1.084322923,N,Gossypium_hirsutum,Malvaceae,Tropical & Subtropical Dry Broadleaf Forests,SHRUB,Woody,56.45714286,4.033481817,0.599511621,3.985714286,0.039857143,-3.18178045,0.348302762,0.348302762,-0.626507988,0.2,42.65
Abdala_Site 3_Solanum_donianum_Survey 1,7/16/19,21.344807,21.344807,-1.084315676,N,Solanum_donianum,Solanaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;SHRUB,Woody,37.59322034,3.626823724,0.251973825,10.74166667,0.107416667,-2.117404527,0.328187664,0.328187664,-0.716393451,0.283333333,20.2
